artist_name,track_name,release_date,genre,lyrics
"Tyler, The Creator",HOT WIND BLOWS,2021,soul,"Ladies and gentlemen We just landed in Geneva Yeah, that's in Switzerland We on a yacht A young lady just fed me French vanilla ice cream We all got our toes out, too Call me when you get lost I'ma travel the globe, you keep the block hot Driver, open the door for me, my hand hurt Find us, we playin' hide-and-seek with the passports Where the fuck we at? Oh, the pilot gotta remind us, yeah The luggage is pilin', I needed clothes to wear (Woo) So many stinkies sit in my wallet, look like a folding chair (Yeah) The Cartier so light on my body, thought I floated here We boated here, it's Tunechi and Tyler, but call me Baudelaire, yeah Out in Switzerland, travel with my bitch again, we kissin', dawg I love when she let me rub her like Michelin (Skrrt, skrrt, facts) A hundred grand to sleep on the bird, the wings are whistlin' like— Man, they ain't listenin' We crossed the line like immigrants and benefit from it Keep on stuntin' on these niggas, make 'em sick to they stomach, man (I can't stop it) Y'all don't understand, fish so fresh that you could taste the sand Yeah, we gettin' lost but we know who we am (True story) Bada-bada-bada, somethin'-somethin'-somethin' Treat that last part like you niggas ain't sayin' nothin' (Hot wind) Yeah, haha You see these excursions right here? Just too lavish to post on the 'Gram (Gangsta Grillz) Uh (Tunechi) Excuse me, pardon me, the wind, it blow so hard at me Like mother nature arguing about some baby father beef And I'm stuck in the middle of the sandwich like slaughter meat Got my middle fingers to the cameras that's recording me From y'all to me, brrt, stop callin' me unless you're ordering I'm on the beach, I got my feet out, and I stay on my feet The corner beat, I'm on a deep route, just throw the ball to me Thought all this lean would have me senile, I guess they see now Let's touch down, catch a beat-down like I catch touchdowns I fuck 'round and slow the beat down and take the drums out And speed up my flow, I'm so greedy, I'ma eat my own flow And I'm in need of a flow, might eat me a rapper and I might as well eat me a ho (Oh) I'm hot as hell when the weather is freezin', as cold as the devil and demon and ghost I'ma get even and even, get even some more, it's too late to even get low, baow Wolf Gang, Wolf Gang, that's what I need you to know, Mula, Weezy the G.O.A.T. The wind beneath my wings, Desert Eagle underneath my coat Yeah, yeah, yeah, yeah, Mula (Bitch) You might also like[Outro: DJ Drama] (Hot wind) (All aboard, nigga) You see We just over here admirin' the view of the mountains from the lake Of course Y'all know it's Wolf Haley, man, stop fuckin' playin'"
Harry Styles,Treat People With Kindness,2019,soul,"Maybe we can Find a place to feel good And we can treat people with kindness Find a place to feel good I've got a good feeling I'm just takin' it all in Floating up and dreamin' Droppin' into the deep end And if we're here long enough They'll sing a song for us (Ooh) And we'll belong Maybe we can Find a place to feel good And we can treat people with kindness Find a place to feel good Given second chances I don't need all the answers Feeling good in my skin I just keep on dancin' And if we're here long enough We'll see it's all for us (Ooh) And we'll belong Maybe we can Find a place to feel good And we can treat people with kindness Find a place to feel good You might also like[Bridge: Harry Styles & Lucius] And it's just another day (And it's just another day) And if our friends all pass away (Oh-oh, oh-oh) It's okay (It's okay, it's okay) It's okay (It's okay, it's okay, yeah) Hey Here we go now Maybe we can Find a place to feel good And we can treat people with kindness Find a place to feel good All we ever want is automatic all the time All we ever want is auto all of the time All we ever want is automatic all the time All we ever want is auto all of the time Maybe we can (All together now, one more time) Find a place to feel good (Oh yeah) And we can treat people with kindness (Just a little bit of kindness) Find a place to feel good (Ow)"
GIVĒON,HEARTBREAK ANNIVERSARY,2020,soul,"Ooh Balloons are deflated Guess they look lifeless like me We miss you on your side of the bed, mmm Still got your things here And they stare at me like souvenirs Don't wanna let you out my head Just like the day that I met you, the day I thought forever Said that you love me, but that'll last for never It's cold outside like when you walked out my life Why you walk out my life? I get like this every time On these days that feel like you and me Heartbreak anniversary 'Cause I remember every time On these days that feel like you and me Heartbreak anniversary, do you ever think of me? (Oh-ooh) No (Ooh) No, no, no (Ooh, ooh) Ooh, nah (Ooh) I'm buildin' my hopes up Like presents unopened 'til this day I still see the messages you read, mmm I'm foolishly patient (Foolishly patient) Can't get past the taste of your lips (Taste of your lips) Don't wanna let you out my head Just like the day that I met you, the day I thought forever Said that you love me but that'll last for never It's cold outside like when you walked out my life Why you walk out my life? (My life) I get like this every time On these days that feel like you and me Heartbreak anniversary 'Cause I remember every time On these days that feel like you and me Heartbreak anniversary, do you ever think of me? (Oh-ooh) Of me (Ooh) 'Cause I think of you, think of you (Ooh, ooh, ooh-ooh)"
Rod Wave,Dark Conversations,2019,soul,"Pipe that shit up, TnT Um, Reuel, stop playing, haha He havin', mmm-mmm He havin' He havin' conversations in the dark, yeah, yeah It's just me, myself, and my heart, uh My heart said, ""Under any circumstance or for any reason Let  down your guard again and I'ma stop beatin' Please, friend, I cannot take it no more"" Four in the mornin', while they sleepin', I'm wide awake Thinkin' about the problems I faced, make my heart race I done put my trust in so many, they all traded lanes I don't know where I should start but it's time for a change During the day, I'm Rod Wave, but I feel like Cobain Do I wanna deal with the pain that tomorrow brings? Might grab a gun, blow out his brain, he been feelin' strange But then he think 'bout Reginae and think about Charmaine So many smiles, so many hugs, but I still feel alone Cut down the lights, cut off his phone, and get in his zone Lost in his thoughts, he's in a vault, but his mind, it roams And he'll give his heart to anyone who will call it home And he's been like that for so long, since a small child He'd be okay until he sober, then his thoughts pile They be on social sites ridin', clownin' a nigga Then he remember he's up two, three hundred thousand on niggas (Krrah) He havin' conversations in the dark, yeah, yeah It's just me, myself, and my heart My heart said, ""Under any circumstance or for any reason Let down your guard again and I'ma stop beatin' Please, friend, I cannot take it no more"""
"Earth, Wind & Fire",September,1978,soul,"Do you remember The 21st night of September? Love was changin' the minds of pretenders While chasin' the clouds away Our hearts were ringin' In the key that our souls were singin' As we danced in the night, remember How the stars stole the night away, oh, yeah Hey, hey, hey Ba-dee-ya, say, do you remember? Ba-dee-ya, dancin' in September Ba-dee-ya, never was a cloudy day Ba-du-da, ba-du-da, ba-du-da, ba-du Ba-du-da, ba-du, ba-du-da, ba-du Ba-du-da, ba-du, ba-du-da My thoughts are with you Holdin' hands with your heart to see you Only blue talk and love, remember How we knew love was here to stay Now December Found the love that we shared in September Only blue talk and love, remember The true love we share today Hey, hey, hey Ba-dee-ya, say, do you remember? Ba-dee-ya, dancin' in September Ba-dee-ya, never was a cloudy day There was a— Ba-dee-ya (Dee-ya, dee-ya), say, do you remember? Ba-dee-ya (Dee-ya, dee-ya), dancin' in September Ba-dee-ya (Dee-ya, dee-ya), golden dreams were shiny days The bell was ringin', oh, oh Our souls were singin' Do you remember never a cloudy day? Yow There was a Ba-dee-ya (Dee-ya, dee-ya), say, do you remember? Ba-dee-ya (Dee-ya, dee-ya), dancin' in September Ba-dee-ya (Dee-ya, dee-ya), never was a cloudy day And we'll say Ba-dee-ya (Dee-ya, dee-ya), say, do you remember? Ba-dee-ya (Dee-ya, dee-ya), dancin' in September Ba-dee-ya (Dee ya, dee-ya),  golden dreams were shiny days Ba-dee-ya, dee-ya, dee-ya Ba-dee-ya, dee-ya, dee-ya Ba-dee-ya, dee-ya, dee-ya, dee-ya! Ba-dee-ya, dee-ya, dee-ya Ba-dee-ya, dee-ya, dee-ya Ba-dee-ya, dee-ya, dee-ya, dee-ya!"
Hozier,Almost (Sweet Music),2019,soul,"I came in from the outside, burned out from a joy ride She likes to roll here in my ashes anyway Played from the bedside is ""Stella by Starlight"" That was my heart, the drums that start off ""Night and Day"" The same kind of music haunts her bedroom I'm almost me again, she's almost you I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me Tell me who, and I'll be thanking them The numbered lovers of Duke Ellington Do I owe each kiss to lip and cheek as soft as Chet can sing Let's get lost and let the good times roll Let smoke rings from this paper doll Blow sweet and thick 'til every thought of it don't mean a thing I got some colour back, she thinks so, too I laugh like me again, she laughs like you I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me I wouldn't know where I wouldn't know where I wouldn't know where, I wouldn't know where I wouldn't, mmm I wouldn't know where I wouldn't know where I wouldn't know where, I wouldn't know where I wouldn't know You might also like[Verse 3] The very thought of you and am I blue? A love supreme seems far removed I get along without you very well some other nights Oh, the radio news reader chimes Reporting Russian lullabies She'll turn to me awake and ask, ""Is everything alright?"" And, Lord I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me I wouldn't know where to start Sweet music playing in the dark (I wouldn't know where) Be still, my foolish heart Don't ruin this on me I wouldn't know where to start Sweet music playing in the dark (I wouldn't know where) Be still, my foolish heart Don't ruin this on me"
Teyana Taylor,Rose in Harlem,2018,soul,"A rose in Harlem, a rose in Harlem A rose in Harlem, a rose in Harlem Been through more than a lil' bit Been through more than a lil' bit But I ain't callin' no names out No, no free promotion Naw, naw I ain't late, I don't do due dates No sneak diss, no sneak shit That's just how I was raised Had to get it out the soil I been down, I been loyal When you really hold it down Niggas ain't even really down for ya Oh no, what a shame 10 years in the game Niggas like ""You ain't hot? You ain't pop yet? What's up wit' you and Ye?"" (A rose in Harlem) Grew out the concrete (A rose in Harlem) You know it ain't sweet (A rose in Harlem) Can't tell me any- any- any- anything It be the ones who say they ride for you It be the ones, the ones you love, them too It be the ones who swear they real, not true It be them ones, It be them ones Don't get caught up It be the ones, the ones you closest to It be the ones, the ones you trust - them too It be the ones, the ones you look up to It be the ones Don't get caught up, young girl (A rose in Harlem) Grew out the concrete (A rose in Harlem) You know it ain't sweet (A rose in Harlem) Can't tell me any- any- any- anything Been through more than a lil' bit Been through more than a lil' bit But I ain't callin' no names out No, no free promotions If it ain't 'bout blessings I can't even address it I just bought my third house No album out and I got 'em asking 'What do she do?' I do everything I move everything Put that on my wedding ring Put that on my baby name All these fake smiles These chicks must just came from a dentist I can tell it ain't genuine I get so offended You might also like[Chorus: (Sample) & Teyana] (A rose in Harlem) Grew out the concrete (A rose in Harlem) You know it ain't sweet (A rose in Harlem) Can't tell me any- any- any- anything It be the ones who say they ride for you It be the ones, the ones you love, them too It be the ones who swear they real, not true It be them ones, It be them ones Don't get caught up It be the ones, the ones you closest to It be the ones, the ones you trust - them too It be the ones, the ones you look up to It be the ones It be the ones who say they ride for you It be the ones, the ones you love, them too It be the ones who swear they real, not true It be them ones, It be them ones Don't get caught up It be the ones, the ones you closest to It be the ones, the ones you trust - them too It be the ones, the ones you look up to It be the ones Don't get caught up, young girl A rose in Harlem, a rose in Harlem A rose in Harlem, a rose in Harlem Don't get caught up, young girl"
The Righteous Brothers,Unchained Melody,1965,soul,"Woah, my love, my darling I've hungered for your touch A long, lonely time And time goes by so slowly And time can do so much Are you still mine? I need your love I need your love Godspeed your love to me Lonely rivers flow To the sea, to the sea To the open arms of the sea, yeah Lonely rivers sigh ""Wait for me, wait for me"" I'll be coming home, wait for me Woah, my love, my darling I've hungered, hungered for your touch A long, lonely time And time goes by so slowly And time can do so much Are you still mine? I need your love I, I need your love Godspeed your love to me"
The 1975,I Couldn’t Be More In Love,2018,soul,"At the best of times I'm lonely in my mind But I can find something to show you If you have got the time Why would I rely on the things that I did right? She said, ""I gave you four years of my life"" So, what about these feelings I've got? We got it wrong and you said you'd had enough What about these feelings I've got? I couldn't be more in love I could have been a great line I could have been a sign Or overstay my time Say what's on your mind Maybe I'll rely on all the things that made it right Because I'd give you all the years of my life So, what about these feelings I've got? We got it wrong and you said you'd had enough But what about these feelings I've got? I couldn't be more in love And what about these feelings I've got? We got it wrong and you said you'd had enough But what about these feelings I've got? I couldn't be more in love"
Roberta Flack,The First Time Ever I Saw Your Face,1972,soul,"The first time, ever I saw your face I thought the sun rose in your eyes And the moon and the stars Were the gifts you gave To the dark, and the endless skies And the first time, ever I kissed your mouth I felt the earth move in my hand Like the trembling heart Of a captive bird That was there, at my command My love And the first time, ever I lay with you I felt your heart so close to mine And I knew our joy Would fill the earth And last, 'til the end of time My love The first time, ever I saw Your face Your face Your face Your face"
Anderson .Paak,Put Me Thru,2016,soul,"Why the hell would you run this game? Both my hands are tied Afraid of thinking I dug my own grave Fuck around with this Strange and elusive, too afraid to lose it I don't mind this pain Most niggas want you for your candy They'll never know just how long it takes I wave my own pride And put it all on the line There I go, volunteering punishment Self inflicted pain, sickness over used Way over used Here I stay, hey, time to time It must be what you put me through, ha It must be what you put me through A little while longer A bit more time Why would you run these thoughts across my mind? Please, relieve me As cool as I remain There's a point in which I'll lose my self restraint Say, love, most niggas would've left you lonely I fancy throwin' it all away I see it to my own demise How much longer will I let it ride? There I go, volunteering punishment Self inflicted pain, sickness over used Will I let it ride? (Here I stay) Here I stay, time to time It must be what you put me through (Yeah, time to time) It must be what you put me through You might also like[Outro: Anderson .Paak] Hey, it must be (Here I stay, time to time) It must be what you put me through It must be what you put me through"
Bryson Tiller,Right My Wrongs,2015,soul,"Could it be you calling me down, down, down, down, down? My foolish heart turns at the stars All that I am is all that you see You don't need nobody else, and you're putting this all on me, forgive me There's a time and a place for all this This is not the place for all this Is there a reason why you're saying all this? And can we talk about it later? I've gotta right my wrongs With you is where I belong You've been down from the go, recognition is what you want And it's something that I should know Something that I should know, uh All the things that you went through, girl I never meant to put you through it twice, no Tell me, how can I right my wrongs? That's something that I should know All the things that we been through, girl I never meant to put you through it twice, no, no Could it be you calling me down, down, down, down, down? My foolish heart turns at the stars All that I am is all that you see You don't need nobody else, and you're putting this all on me, forgive me I say you don't need nobody else Feels like you don't got me so you feel like you've been by yourself I've been feeling kinda down myself I've been going through it as well Girl, I guess time will tell That's the problem, I ain't got any left There's some things I can't help But you make the time for me Oh, isn't that something that I should know? Something that I should know All the things that you went through, girl I never meant to put you through it twice, no And tell me how can I right my wrongs That's something that I should know All the things that we went through, girl I never meant to put you through it twice, no, no You might also like[Chorus: Submotion Orchestra & Bryson Tiller] Could it be you calling me down, down, down, down, down? My foolish heart turns at the stars All that I am is all that you see You don't need nobody else, and you're putting this all on me, forgive me"
